species_dani,sp_tax_jetz,sp_delhey.x,height.x,entrance,extra,fam.x.x,threat.x,Continental,species_alternative.x,materials.x,species_b.x,weight.x,body_mass,built.by,nest.type,material,height.in.m,extra.info,where,body_mass_AMNIOTE.DATABASE,nest_type,weight.1,nest_type.1,X,sp_tax_hbw,sp_delhey.y,height.y,fam.x.y,threat.y,PNG,species_alternative.y,materials.y,weight.x,species_b.y,weight.y,weight.y,SCINAME,WJSpecID
Acanthornis_magnus,Acanthornis magna,Acanthornis magna,0.5,1,0,Acanthizidae,0,AUSTRALIA,,,Acanthornis_magnus,10,NA,NA,NA,NA,NA,NA,AUSTRALIA,0,1,10,1,1,Acanthornis magnus,Acanthornis magna,0.5,Acanthizidae,0,AUSTRALIA,NA,NA,0,Acanthornis_magnus,10,10,Acanthornis magnus,NA
Amblyornis_newtonianus,Prionodura newtoniana,Amblyornis newtonianus,,NA,0,Ptilonorhynchidae ,0,PNG,,,NA,33.75,NA,NA,NA,NA,NA,NA,AUSTRALIA,0,#VALUE!,33.75,#VALUE!,2,Amblyornis newtonianus,Amblyornis newtonianus,NA,Ptilonorhynchidae,0,PNG,NA,NA,0,NA,33.75,33.75,Amblyornis newtonianus,NA
Anisogthus_notabilis,Anisognathus notabilis,Anisogthus notabilis,14.95,NA,0,Thraupidae,NA,SOUTHAMERICA,Anisognathus notabilis,,,NA,NA,,NA,PLANT,14.95,0,SOUTHAMERICA,NA,#VALUE!,#VALUE!,#VALUE!,34,Anisogthus notabilis,Anisogthus notabilis,14.95,NA,NA,SOUTHAMERICA,Anisognathus notabilis,NA,NA,NA,NA,NA,Anisogthus notabilis,NA
Calyptocichla_seri,Calyptocichla serina,Calyptocichla seri,35,NA,0,Pycnonotidae,NA,AFRICA,Calyptocichla serinus,,,NA,NA,FEMALE,NA,PLANTS,35,0,AFRICA,NA,#VALUE!,#VALUE!,#VALUE!,36,Calyptocichla seri,Calyptocichla seri,35,NA,NA,AFRICA,Calyptocichla serinus,NA,NA,NA,NA,NA,Calyptocichla seri,NA
Cettia_ane,Cettia annae,Cettia ane,2.5,1,0,Cettiidae,NA,ISLAND,Horornis annae,,NA,NA,NA,,1,PLANTS,2.5,0,ISLAND,NA,0,#VALUE!,1,4,Cettia ane,Cettia ane,2.5,Cettiidae,NA,ISLAND,Horornis annae,NA,0,NA,NA,NA,Cettia ane,NA
Chthonicola_sagittata,Chthonicola sagittatus,Chthonicola sagittatus,,1,0,Acanthizidae,0,AUSTRALIA,,,Pyrrholaemus_sagittatus,13.5,NA,NA,NA,NA,NA,NA,NA,0,1,13.5,1,5,Chthonicola sagittata,Chthonicola sagittatus,NA,Acanthizidae,0,AUSTRALIA,NA,NA,0,Pyrrholaemus_sagittatus,13.5,13.5,Chthonicola sagittata,NA
Cinclidium_dia,Cinclidium diana,Cinclidium dia,,1,0,Muscicapidae,NA,ISLAND,Myiomela diana,,NA,NA,NA,,1,PLANTS,,0,ISLAND,NA,0,#VALUE!,1,6,Cinclidium dia,Cinclidium dia,NA,Muscicapidae,NA,ISLAND,Myiomela diana,NA,0,NA,NA,NA,Cinclidium dia,NA
Cissa_thalassi,Cissa thalassina,Cissa thalassi,4.25,1,0,Corvidae,NA,ISLAND,,,NA,NA,NA,,0,PLANTS,4.25,0,ISLAND,NA,1,#VALUE!,0,7,Cissa thalassi,Cissa thalassi,4.25,Corvidae,NA,ISLAND,NA,NA,0,NA,NA,NA,Cissa thalassi,NA
Climacteris_melanura,Climacteris melanurus,Climacteris melanurus,6,1,CAVITY,Climacteridae ,0,AUSTRALIA,,,NA,32,NA,NA,NA,NA,NA,NA,NA,0,1,32,1,8,Climacteris melanura,Climacteris melanurus,6,Climacteridae,0,AUSTRALIA,NA,NA,0,NA,32,32,Climacteris melanura,NA
Climacteris_rufa,Climacteris rufus,Climacteris rufus,7,1,CAVITY,Climacteridae ,0,AUSTRALIA,,,NA,31.5,NA,NA,NA,NA,NA,NA,NA,0,1,31.5,1,9,Climacteris rufa,Climacteris rufus,7,Climacteridae,0,AUSTRALIA,NA,NA,0,NA,31.5,31.5,Climacteris rufa,NA
Coraci_ostenta,Coracina ostenta,Coraci ostenta,20,NA,0,Campephagidae,NA,ISLAND,Edolisoma ostentum,,,NA,NA,,NA,,20,0,ISLAND,NA,#VALUE!,#VALUE!,#VALUE!,37,Coraci ostenta,Coraci ostenta,20,Campephagidae,NA,ISLAND,Edolisoma ostentum,NA,NA,NA,NA,NA,Coraci ostenta,NA
Cormobates_leucophaeus,Cormobates leucophaea,Cormobates leucophaea,,1,CAVITY,Climacteridae ,0,AUSTRALIA,,,Cormobates_leucophaea,17,NA,NA,NA,NA,NA,NA,NA,0,1,17,1,10,Cormobates leucophaeus,Cormobates leucophaea,NA,Climacteridae,0,AUSTRALIA,NA,NA,0,NA,NA,NA,Cormobates leucophaeus,NA
Corvus_leucogphalus,Corvus leucognaphalus,Corvus leucogphalus,,1,0,Corvidae,NA,ISLAND,Corvus leucognaphalus,,NA,NA,NA,,0,PLANTS,,0,ISLAND,NA,1,#VALUE!,0,11,Corvus leucogphalus,Corvus leucogphalus,NA,Corvidae,NA,ISLAND,Corvus leucognaphalus,NA,0,NA,NA,NA,Corvus leucogphalus,NA
Crypsiri_cucullata,Crypsirina cucullata,Crypsiri cucullata,,0,0,Corvidae,NA,ASIA,Crypsirina cucullata,,NA,NA,NA,,1,PLANTS,,0,ASIA,NA,-1,#VALUE!,0,12,Crypsiri cucullata,Crypsiri cucullata,NA,Corvidae,NA,ASIA,Crypsirina cucullata,NA,0,NA,NA,NA,Crypsiri cucullata,NA
Crypsiri_temia,Crypsirina temia,Crypsiri temia,3.5,1,0,Corvidae,NA,ASIA,Crypsirina temia,,NA,NA,NA,,0,PLANTS,3.5,0,ASIA,NA,1,#VALUE!,0,13,Crypsiri temia,Crypsiri temia,3.5,Corvidae,NA,ASIA,Crypsirina temia,NA,0,NA,NA,NA,Crypsiri temia,NA
Embergra_longicauda,Embernagra longicauda,Embergra longicauda,0.45,1,0,Thraupidae,NA,SOUTHAMERICA,Embernagra longicauda,,NA,NA,NA,,0,PLANTS,0.45,0,SOUTHAMERICA,NA,1,#VALUE!,0,14,Embergra longicauda,Embergra longicauda,0.45,Thraupidae,NA,SOUTHAMERICA,Embernagra longicauda,NA,0,NA,NA,NA,Embergra longicauda,NA
Gerygone_chloronotus,Gerygone chloronota,Gerygone chloronota,5.9,1,0,Acanthizidae,0,PNG,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,#VALUE!,#VALUE!,1,15,Gerygone chloronotus,Gerygone chloronota,NA,Acanthizidae,0,PNG,NA,NA,0,NA,NA,NA,Gerygone chloronotus,NA
Icterus_graceane,Icterus graceannae,Icterus graceane,2.9,0,POUCH,Icteridae,NA,SOUTHAMERICA,Icterus graceannae,,NA,NA,NA,,1,PLANTS,2.9,POUCH,SOUTHAMERICA,NA,-1,#VALUE!,1,16,Icterus graceane,Icterus graceane,2.9,Icteridae,NA,SOUTHAMERICA,Icterus graceannae,NA,0,NA,NA,NA,Icterus graceane,NA
Malimbus_corotus,Malimbus coronatus,Malimbus corotus,16,0,POUCH,Ploceidae,NA,AFRICA,Malimbus coronatus,,NA,NA,NA,BOTH,1,,16,POUCH,AFRICA,NA,-1,#VALUE!,1,17,Malimbus corotus,Malimbus corotus,16,Ploceidae,NA,AFRICA,Malimbus coronatus,NA,0,NA,NA,NA,Malimbus corotus,NA
Morcha_axillaris,Monarcha axillaris,Morcha axillaris,1.9,0,0,Monarchidae,NA,ISLAND,Symposiachrus axillaris,,NA,NA,NA,,0,PLANTS,1.9,0,ISLAND,NA,0,#VALUE!,0,18,Morcha axillaris,Morcha axillaris,1.9,Monarchidae,NA,ISLAND,Symposiachrus axillaris,NA,0,NA,NA,NA,Morcha axillaris,NA
Morcha_barbatus,Monarcha barbatus,Morcha barbatus,1,0,0,Monarchidae,NA,ISLAND,Symposiachrus barbatus,,NA,NA,NA,,0,PLANTS,1,0,ISLAND,NA,0,#VALUE!,0,19,Morcha barbatus,Morcha barbatus,1,Monarchidae,NA,ISLAND,Symposiachrus barbatus,NA,0,NA,NA,NA,Morcha barbatus,NA
Morcha_guttula,Monarcha guttula,Morcha guttula,2.3,0,0,Monarchidae,NA,ISLAND,Symposiachrus guttula,,NA,NA,NA,,0,PLANTS,2.3,0,ISLAND,NA,0,#VALUE!,0,20,Morcha guttula,Morcha guttula,2.3,Monarchidae,NA,ISLAND,Symposiachrus guttula,NA,0,NA,NA,NA,Morcha guttula,NA
Morcha_loricatus,Monarcha loricatus,Morcha loricatus,0.8,0,0,Monarchidae,NA,ISLAND,Symposiachrus loricatus,,NA,NA,NA,,0,PLANTS,0.8,0,ISLAND,NA,0,#VALUE!,0,21,Morcha loricatus,Morcha loricatus,0.8,Monarchidae,NA,ISLAND,Symposiachrus loricatus,NA,0,NA,NA,NA,Morcha loricatus,NA
Morcha_richardsii,Monarcha richardsii,Morcha richardsii,1,0,0,Monarchidae,NA,ISLAND,Monarcha richardsii,,NA,NA,NA,,0,PLANTS,1,0,ISLAND,NA,0,#VALUE!,0,22,Morcha richardsii,Morcha richardsii,1,Monarchidae,NA,ISLAND,Monarcha richardsii,NA,0,NA,NA,NA,Morcha richardsii,NA
Morcha_rubiensis,Monarcha rubiensis,Morcha rubiensis,3,0,0,Monarchidae,NA,ISLAND,Symposiachrus rubiensis,,NA,NA,NA,,0,PLANTS,3,0,ISLAND,NA,0,#VALUE!,0,23,Morcha rubiensis,Morcha rubiensis,3,Monarchidae,NA,ISLAND,Symposiachrus rubiensis,NA,0,NA,NA,NA,Morcha rubiensis,NA
Morcha_verticalis,Monarcha verticalis,Morcha verticalis,1.5,0,0,Monarchidae,NA,ISLAND,Symposiachrus verticalis,,NA,NA,NA,,0,PLANTS,1.5,0,ISLAND,NA,0,#VALUE!,0,24,Morcha verticalis,Morcha verticalis,1.5,Monarchidae,NA,ISLAND,Symposiachrus verticalis,NA,0,NA,NA,NA,Morcha verticalis,NA
Motacilla_samvease,Motacilla samveasnae,Motacilla samvease,,NA,CAVITY,Motacillidae,NA,ASIA,Motacilla samveasnae,,,NA,NA,,NA,PLANTS,,CAVITY,ASIA,NA,#VALUE!,#VALUE!,#VALUE!,38,Motacilla samvease,Motacilla samvease,NA,NA,NA,ASIA,Motacilla samveasnae,NA,NA,NA,NA,NA,Motacilla samvease,NA
Myadestes_laiensis,Myadestes lanaiensis,Myadestes laiensis,27.5,0,0,Turdidae,NA,ISLAND,Myadestes lanaiensis,,NA,NA,NA,,0,PLANTS,27.5,0,ISLAND,NA,0,#VALUE!,0,25,Myadestes laiensis,Myadestes laiensis,27.5,Turdidae,NA,ISLAND,Myadestes lanaiensis,NA,0,NA,NA,NA,Myadestes laiensis,NA
Myrmecocichla_melae,Myrmecocichla melaena,Myrmecocichla melae,,NA,CAVITY,Muscicapidae,NA,AFRICA,,,,NA,NA,,NA,,,CAVITY,AFRICA,NA,#VALUE!,#VALUE!,#VALUE!,39,Myrmecocichla melae,Myrmecocichla melae,NA,NA,NA,AFRICA,NA,NA,NA,NA,NA,NA,Myrmecocichla melae,NA
Niltava_sumatra,Niltava sumatrana,Niltava sumatra,3,1,CAVITY,Muscicapidae,NA,ISLAND,,,NA,NA,NA,,0,PLANTS,3,CAVITY,ISLAND,NA,1,#VALUE!,0,26,Niltava sumatra,Niltava sumatra,3,Muscicapidae,NA,ISLAND,NA,NA,0,NA,NA,NA,Niltava sumatra,NA
Parula_america,Parula americana,Parula america,,NA,POUCH,Parulidae,NA,BORTHAMERICA,Setophaga americana,,,NA,NA,,NA,PLANTS,,POUCH,BORTHAMERICA,NA,#VALUE!,#VALUE!,#VALUE!,40,Parula america,Parula america,NA,NA,NA,BORTHAMERICA,Setophaga americana,NA,NA,NA,NA,NA,Parula america,NA
Petroica_boodang,Petroica boodang,Petroica boodang,6,0,0,Petroicidae ,0,PNG,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,#VALUE!,#VALUE!,0,27,Petroica boodang,Petroica boodang,6,Petroicidae,0,PNG,NA,NA,0,NA,NA,NA,Petroica boodang,NA
Phylidonyris_nigra,Phylidonyris niger,Phylidonyris niger,1,0,0,Meliphagidae ,0,PNG,,,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,#VALUE!,0,28,Phylidonyris nigra,Phylidonyris niger,1,Meliphagidae,0,PNG,NA,NA,0,NA,NA,NA,Phylidonyris nigra,NA
Ploceus_subpersotus,Ploceus subpersonatus,Ploceus subpersotus,1.75,1,0,Ploceidae,NA,AFRICA,Ploceus subpersonatus,,NA,NA,NA,,1,PLANTS,1.75,,AFRICA,NA,0,#VALUE!,1,29,Ploceus subpersotus,Ploceus subpersotus,1.75,Ploceidae,NA,AFRICA,Ploceus subpersonatus,NA,0,NA,NA,NA,Ploceus subpersotus,NA
Pseudochelidon_eurystomi,Pseudochelidon eurystomina,Pseudochelidon eurystomi,0.66,NA,CAVITY,Hirundinidae,NA,AFRICA,,,,NA,NA,,NA,PLANTS,0.66,CAVITY,AFRICA,NA,#VALUE!,#VALUE!,#VALUE!,41,Pseudochelidon eurystomi,Pseudochelidon eurystomi,0.66,Hirundinidae,NA,AFRICA,NA,NA,NA,NA,NA,NA,Pseudochelidon eurystomi,NA
Ptilonorhynchus_guttatus,Chlamydera guttata,Ptilonorhynchus guttatus,4,0,0,Ptilonorhynchidae ,0,PNG,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,#VALUE!,#VALUE!,0,30,Ptilonorhynchus guttatus,Ptilonorhynchus guttatus,4,Ptilonorhynchidae,0,PNG,NA,NA,0,NA,NA,NA,Ptilonorhynchus guttatus,NA
Rhipidura_rennellia,Rhipidura rennelliana,Rhipidura rennellia,0.8,0,0,Rhipiduridae,NA,ISLAND,,,NA,NA,NA,,0,PLANTS,0.8,0,ISLAND,NA,0,#VALUE!,0,31,Rhipidura rennellia,Rhipidura rennellia,0.8,Rhipiduridae,NA,ISLAND,NA,NA,0,NA,NA,NA,Rhipidura rennellia,NA
Sericornis_magnirostris,Sericornis magnirostra,Sericornis magnirostra,3,1,0,Acanthizidae,0,PNG,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,#VALUE!,#VALUE!,1,32,Sericornis magnirostris,Sericornis magnirostra,3,Acanthizidae,0,PNG,NA,NA,0,NA,NA,NA,Sericornis magnirostris,NA
Tesia_castaneocorota,Tesia castaneocoronata,Tesia castaneocorota,2,NA,POUCH,Cettiidae,NA,ASIA,Cettia castaneocoronata,,,NA,NA,,NA,PLANTS,2,POUCH,ASIA,NA,#VALUE!,#VALUE!,#VALUE!,42,Tesia castaneocorota,Tesia castaneocorota,2,NA,NA,ASIA,Cettia castaneocoronata,NA,NA,NA,NA,NA,Tesia castaneocorota,NA
Thryothorus_siloa,Thryothorus sinaloa,Thryothorus siloa,2.4,0,0,Troglodytidae,NA,NORTHAMERICA,Thryophilus sinaloa,,NA,NA,NA,,1,PLANTS,2.4,0,NORTHAMERICA,NA,-1,#VALUE!,1,33,Thryothorus siloa,Thryothorus siloa,2.4,Troglodytidae,NA,NORTHAMERICA,Thryophilus sinaloa,NA,0,NA,NA,NA,Thryothorus siloa,NA
Urosphe_whiteheadi,Urosphena whiteheadi,Urosphe whiteheadi,,NA,0,Cettiidae,NA,ISLAND,Urosphena whiteheadi,,,NA,NA,,NA,PLANTS,,0,ISLAND,NA,#VALUE!,#VALUE!,#VALUE!,43,Urosphe whiteheadi,Urosphe whiteheadi,NA,NA,NA,ISLAND,Urosphena whiteheadi,NA,NA,NA,NA,NA,Urosphe whiteheadi,NA
