Synonyms,SpcRecID,species,sp_tax_hbw,sp_delhey,height,fam.x,threat,PNG,species_alternative,materials,weight.x,species_b,weight.y,weight
NA,NA,Cettia_ane,Cettia ane,Cettia ane,2.5,Cettiidae,NA,ISLAND,Horornis annae,NA,0,NA,NA,NA
NA,NA,Chelidorhynx_hypoxantha,Chelidorhynx hypoxantha,Chelidorhynx hypoxantha,4.5,Stenostiridae,NA,ASIA,Chelidorhynx hypoxanthus,NA,5.5,NA,NA,5.5
NA,NA,Cinclidium_dia,Cinclidium dia,Cinclidium dia,NA,Muscicapidae,NA,ISLAND,Myiomela diana,NA,0,NA,NA,NA
NA,NA,Cissa_thalassi,Cissa thalassi,Cissa thalassi,4.25,Corvidae,NA,ISLAND,NA,NA,0,NA,NA,NA
NA,NA,Corvus_leucogphalus,Corvus leucogphalus,Corvus leucogphalus,NA,Corvidae,NA,ISLAND,Corvus leucognaphalus,NA,0,NA,NA,NA
NA,NA,Crypsiri_cucullata,Crypsiri cucullata,Crypsiri cucullata,NA,Corvidae,NA,ASIA,Crypsirina cucullata,NA,0,NA,NA,NA
NA,NA,Crypsiri_temia,Crypsiri temia,Crypsiri temia,3.5,Corvidae,NA,ASIA,Crypsirina temia,NA,0,NA,NA,NA
NA,NA,Cyanocorax_luxuosus,Cyanocorax luxuosus,Cyanocorax luxuosus,5.75,Corvidae,NA,CONTINENTAL,Cyanocorax yncas,NA,79.11666667,NA,NA,79.11666667
NA,NA,Embergra_longicauda,Embergra longicauda,Embergra longicauda,0.45,Thraupidae,NA,SOUTHAMERICA,Embernagra longicauda,NA,0,NA,NA,NA
NA,NA,Emberiza_vincenti,Emberiza vincenti,Emberiza vincenti,0,Emberizidae,NA,AFRICA,Emberiza capensis vicenti,NA,21.45,NA,NA,21.45
NA,NA,Geothlypis_chiriquensis,Geothlypis chiriquensis,Geothlypis chiriquensis,0.45,Parulidae,NA,NORTHAMERICA,NA,NA,13.325,NA,NA,13.325
NA,NA,Hemispingus_auricularis,Hemispingus auricularis,Hemispingus auricularis,NA,Thraupidae,NA,SOUTHAMERICA,Kleinothraupis auricularis,NA,24,NA,NA,24
