"","species","sp_tax_hbw","sp_delhey","height","fam.x","threat","PNG","species_alternative","materials","weight.x","species_b","weight.y","weight","SCINAME","WJSpecID"
"1","Acanthornis_magnus","Acanthornis magnus","Acanthornis magna","0.5","Acanthizidae",0,"AUSTRALIA",NA,NA,0,"Acanthornis_magnus",10,10,"Acanthornis magnus",NA
"2","Amblyornis_newtonianus","Amblyornis newtonianus","Amblyornis newtonianus",NA,"Ptilonorhynchidae",0,"PNG",NA,NA,0,NA,33.75,33.75,"Amblyornis newtonianus",NA
"3","Arses_telescopthalmus","Arses telescopthalmus","Arses telescopthalmus","7.2","Monarchidae",0,"PNG",NA,NA,0,NA,13.5,13.5,"Arses telescopthalmus",NA
"4","Cettia_ane","Cettia ane","Cettia ane","2.5","Cettiidae",NA,"ISLAND","Horornis annae",NA,0,NA,NA,NA,"Cettia ane",NA
"5","Chthonicola_sagittata","Chthonicola sagittata","Chthonicola sagittatus",NA,"Acanthizidae",0,"AUSTRALIA",NA,NA,0,"Pyrrholaemus_sagittatus",13.5,13.5,"Chthonicola sagittata",NA
"6","Cinclidium_dia","Cinclidium dia","Cinclidium dia",NA,"Muscicapidae",NA,"ISLAND","Myiomela diana",NA,0,NA,NA,NA,"Cinclidium dia",NA
"7","Cissa_thalassi","Cissa thalassi","Cissa thalassi","4.25","Corvidae",NA,"ISLAND",NA,NA,0,NA,NA,NA,"Cissa thalassi",NA
"8","Climacteris_melanura","Climacteris melanura","Climacteris melanurus","6","Climacteridae",0,"AUSTRALIA",NA,NA,0,NA,32,32,"Climacteris melanura",NA
"9","Climacteris_rufa","Climacteris rufa","Climacteris rufus","7","Climacteridae",0,"AUSTRALIA",NA,NA,0,NA,31.5,31.5,"Climacteris rufa",NA
"10","Cormobates_leucophaeus","Cormobates leucophaeus","Cormobates leucophaea",NA,"Climacteridae",0,"AUSTRALIA",NA,NA,0,NA,NA,NA,"Cormobates leucophaeus",NA
"11","Corvus_leucogphalus","Corvus leucogphalus","Corvus leucogphalus",NA,"Corvidae",NA,"ISLAND","Corvus leucognaphalus",NA,0,NA,NA,NA,"Corvus leucogphalus",NA
"12","Crypsiri_cucullata","Crypsiri cucullata","Crypsiri cucullata",NA,"Corvidae",NA,"ASIA","Crypsirina cucullata",NA,0,NA,NA,NA,"Crypsiri cucullata",NA
"13","Crypsiri_temia","Crypsiri temia","Crypsiri temia","3.5","Corvidae",NA,"ASIA","Crypsirina temia",NA,0,NA,NA,NA,"Crypsiri temia",NA
"14","Embergra_longicauda","Embergra longicauda","Embergra longicauda","0.45","Thraupidae",NA,"SOUTHAMERICA","Embernagra longicauda",NA,0,NA,NA,NA,"Embergra longicauda",NA
"15","Gerygone_chloronotus","Gerygone chloronotus","Gerygone chloronota",NA,"Acanthizidae",0,"PNG",NA,NA,0,NA,NA,NA,"Gerygone chloronotus",NA
"16","Icterus_graceane","Icterus graceane","Icterus graceane","2.9","Icteridae",NA,"SOUTHAMERICA","Icterus graceannae",NA,0,NA,NA,NA,"Icterus graceane",NA
"17","Malimbus_corotus","Malimbus corotus","Malimbus corotus","16","Ploceidae",NA,"AFRICA","Malimbus coronatus",NA,0,NA,NA,NA,"Malimbus corotus",NA
"18","Morcha_axillaris","Morcha axillaris","Morcha axillaris","1.9","Monarchidae",NA,"ISLAND","Symposiachrus axillaris",NA,0,NA,NA,NA,"Morcha axillaris",NA
